,cafe_id,message,point1
13,23933670,블루베리 빙수 사진보면 아시겠지만 그릇에 다 튀어있고 일부러 그런건지 뭔지 플레이팅이 매우 지저분했어요. 그냥 집에서 만든 빙수 느낌? 그런데 블루베리가 싱싱하고 빙수도 달달하니 맛있었어요. 플레이팅이 아쉬워서 별 한 개 뺐고요 품질이나 양에 비해 가격이 좀 쎄서 한 개 더 뺐어요. 허니브레드는 우리가 생각하는 그 맛인데 맛있긴했습니다. 플레이팅에 좀 더 신경쓰셔야 할 듯.,1
14,23933670,제주도에서 맛있는 커피 찾기 힘들었는데 커피 먹고 감동받았어요*.* 그리고 한라봉홍차케이크도 정말 맛있었습니다. 재방문의사 200% 예요!,1
17,23933670,"카페 넘 이뻐여 커피마시러왔다가 디저트 다 싹쓸이했네요 눈에 띄어 멀리서도 찾기 쉬워요
게스트하우스도 하시더라구요 담엔 꼭 쉬다가야겠어요!!!",1
20,23933670,그냥 일반 카페가 아니라 메뉴들이 독특해요! 진짜 잘 쉬다가요 다들 꼭 들려보셨음 좋겠네요~!!,1
21,23933670,디저트 너무 이쁘게 나오네요 ~~~!! ㅎㅎ 뷰도 좋아서 오래 있었네요 ㅎㅎㅎ,1
22,23933670,급하게 예약잡았는데 탁월한선택이었어요!!!사장님 넘 친절하시고~~바로앞에 해변도 있어서 즐기다갑니다ㅎㅎ~~카페에서 여유롭게 시간보내는것도 넘넘 좋았어요 진짜 모든사람들에게 추천해드리고싶습니다!!사장님 건강하세용!!,1
23,23933670,이 곳 카페 사장님이 친절하시고 카페의 커피는 너무 맛있습니다,1
24,23933670,"주말에 숙박만 했습니다. 너무 늦어 저녁을 즐기지 못해서 아쉽네요. 시설/관리상태는 가격대비 최상급.조망권 상급.주방은 직원분들이 사용하는곳으로 왼만한건 다있음. 하지만, 손님의 대부분이 스쳐가는분들이라 사용빈도가 적을듯.. 아침식사는 주로 물에 불리는 음식임.&#40;참고만&#41; 주변 경관이 매우 좋음. 아침, 뻘밭을 뛰어다님.",1
25,23933670,개판 2분전 가게,0
26,27495099,"맛도 공간도 별로에요.
특히나 가격은 맛에 비해 너무 비싸요.",0
28,27495099,"우도라떼아이스랑 한라봉생과일쥬스 

카페에서 잠시 뿔소라아트체험 하고 

참 좋아요😀",1
30,26423460,"너무 달지 않은 허니브레드가 아주 맛있었던 곳
직접 담근 레몬차도 굿~
팥빙수도 굿~",1
31,1569358885,"재즈느낌의 음악과
커페가 잘어울리고
고메버터스콘이 진짜 고소하고 바삭해요ㅠ
유명하다는 스콘은 다 먹어봤는데 인생스콘..
사장님도 짱 친절하세요ㅎㅎ
연속으로 두번간곳!",1
32,1569358885,요샛말로 &lsquo;힙&rsquo;한 요소를 모두 갖추고 있는 곳. 한잔한잔 정성들여 내리시는 모습이 좋았다. ,1
33,1569358885,인테리어도 좋고 바다도 보이는 공간이예요~ 사장님 취향이 느껴짐 ㅎ  ,1
34,1569358885,"일단 커피가 맛나고 사장님의 섬세함이 묻어나는 카페
마음에 듬",1
36,1569358885,"너무 이쁘고 조용한 카페였어요 음악도 좋았고 커피가 맛있어서 제일 좋았어요, 일회용 컵에 안주셔서 더욱 맘에 들었어요 :) 다음에 오면 핫해져서 줄서야 할 듯요..",1
37,14794664,카페 아닌거 같은데요??? 걍 꽃집 같음... 헛걸음ㅜㅜ,0
38,14794664,감사합니다. 더 좋은 하늘정원 플라워카페가 되겠습니다^^ 많이 놀러와주세요~,1
39,14794664,"이쁜 사장님, 맛있는 커피, 아름다운 꽃... 서귀포에 가면 들러서 좋을듯한 딱 굿인 장소네요..",1
40,14794664,스마트폰보고 찾아갔는데 드라이브 하다 가기 딱.,1
41,14794664,"아~~ 여기 사장님 완전 친절하시던데~~ ㅋㅋ
굿! 커피 싸고 맛있었어요 ㅋㅋ 분위기 조용하고좋아요 ㅋ
",1
44,423785095,런던아이는 유럽 특히 영국의 정통 엠티가구가 진열된 크레식한 추억의 카페에서 향긋한 커피와 특제 홍차로 음악을 들으며 여행지의 한낮을 즐기기에 딱 맞은  정겨운 카페였다.  ,1
45,77169837,"마라도 가파도가 보이는 전망좋은 카페. 올레길8코스 옆이라 쉬어가기 좋은 곳이기도 하지만 페일에일 생맥주도 있어서 바깥 의자에  편히 누워(?) 바다 보며 낮술하기도 좋다.   화요일 휴무.
오후 7시까지 영업한다. 두달 살이 하면서 여섯 번 정도 갔던 곳이다.  표선으로 숙소 옮기고도 세 번을 갔던 제주도 최애 카페.",1
47,243570162,아담하고 사람도 많지 않고 분위기도 좋아요! 벽돌 느낌의 따뜻한 카페! 디저트도 맛있고요ㅎㅎ,1
48,243570162,쑥케이크 맛있아요,1
49,243570162,"사장님도 친절하시고 가게 분위기도 이뻐요~!
매일 손수 만든 디저트 판매하는데 신선하고 정말 맛있어욯ㅎㅎ 단골됬습니당",1
50,221879692,직원들도 별로 불친절 하고 맛도 그렇게 맛있진 않네요 그리고 스페셜 과일은 다 냉동 이라네요 가기 꺼림직 스러울 수 도 있을 것 같아요 그리고 여기서 파는 코코넛 과자 비슷한 게 있어요 그거 4개사면 2개 더 준다고 해서 샀는데 인터넷 가격에 3배 더군요 이득 보고 싶으면 과자종류는 인터넷 에서 사는 걸 추천합니당♡,0
51,221879692,"생 망고 한접시 최고 에요
",1
52,221879692,오랜만에 먹었는데 고인물이라 그런지 이젠 돈주고 못먹겠네요. ,0
54,221879692,"애월해안이 바로 앞입니다. 
경치가 좋아요. 
신선로 망고 코코넛 눈꽃 빙수
2인용에 1.5만원
맛있어요.. 3~4명이 나눠 먹어도 괜찮습니다. 필요한 부재료 들은 기호에 따라 추가로 넣어서 먹으면 됩니다.
사장님께서 매일 국산팥도 직접 끓이시고, 떡도 따로 맞춰서 쓰신대요. ㅋ",1
55,221879692,날씨도 굿. 풍경도 굿. 맛도 굿.,1
56,221879692,바다 앞...전망 굳..,1
58,221879692,"풍경도 좋고 신선로눈꽃빙수도 완전 맛남
아이들이 뛰어놀 수 있는 공간까지!!",1
59,221879692,가격 대비 맛은 그닥 없는듯합니다.,0
62,221879692,별 하나도 아까움. 기분좋게 여행 갔다가 불친절해서 하루종일 기분나쁨. 망고빙수도 너무 양이 적고 비쌈. 사장님 알바생 월급좀 많이 주세요. 사람이 얼마나 많으면 그렇게 불친절하게 합니까ㅠ,0
63,221879692,별로. 불친절함 든것도 없고,0
64,1863718416,"12,000원 치킨윙과 감자튀김",0
65,1041387920,"뷰 최고, 음료도 맛나요.
산뜻 따뜻한 실내... 편하고 즐거운 시간",1
66,1249506544,로스팅커피가 맛있어요. 들어본적은 없어 기대안하구갔는데 완전 기대이상. 자주들를꺼같아요. ,1
67,1574963073,조용하고 커피도 맛있어요,1
68,484703392,제주 속의 신비한 인도,1
69,484703392,인도가 그리웠는데 인도 느낌이 나서 정말 반가웠어요. 다양한 책들이 너무 많아서 뭘 읽어야 할지ㅎ~~좋은 책들과 함께 반가운 짜이 한잔하며 좋은 시간 포근히 보내고 갑니다. 제주에 아지트가 생긴 기분이 들어요,1
70,1157034383,"케이크 정말 ㅠㅠㅠ 정말 맛있는 곳이에요!! 
친절하신 사장님 부부와 매일 직접 케이크 구우시는데 너무 맛있습니다 !!",1
71,1157034383,사닮과가 제주도에 있어 다행이라는 생각을 매번 합니다. 별 다섯 개가 모자라요 ( Ĭ ^ Ĭ ) ,1
72,1157034383,맛있어요...,1
73,1157034383,오랜만에 갔는데 너무 맛있었어요 !,1
74,565082614,"먹어본 아메리카노중 제일 맛있어요
아라동 카페는 오운카페..
-수박쥬스도 강추-",1
75,565082614,자두에이드가 맛있어요^^ 자두를 씹어먹는데 과즙이 팡팡터지는듯한 맛이에요!,1
76,565082614,"수박쥬스가 증말 맛있어요! 
-ㅇㄱㅇ-",1
77,565082614,친절하시고 디저트랑 음료도 너무 맛있어요&hearts;️&hearts;️&hearts;️!! 다음에 또 가고 싶어요 ~~~!!!!!,1
79,565082614,"얼음동동꼬숩라떼랑 수박주스가 너무 맛있네요
음료를 마시고 무엇인가 먹어야할거같은 아쉬움을 마들렌 으로 채우니 너무 좋네요
직원분들도 친절하고 분위기도 좋아요
제점수는 5점입니다",1
80,565082614,"처음 가봤는데 커피 맛도 괜찮고 카페 분위기도 좋았어요.
음료 종류도 여러가지고 빵도 있어서 맛있게 먹고 가네요^^",1
81,565082614,"수박주스가 너무 시원하고 맛있어요
사장님이 친절하고 카페 분위기가 동네 카페와는 다르게 고급스럽네요",1
82,565082614,"가격도 저렴하고 마들렌도 맛있어요
음료마다 크림이 올라가는데 목넘김이 부드럽고 좋아요",1
83,565082614,"알바생이 잘생겼어용
수박 주스랑 초코쿠키가 너무 맛있어요",1
84,565082614,분위기도 너무 좋고 커피도 너무 맛있네요 서비스도 좋았어요 또 가고싶네요 !!,1
85,565082614,커피도 에이드도 맛있네요,1
86,565082614,"음료, 디저트 저렴한데 맛있어요 
인테리어도 깔끔합니다",1
88,27417809,많이달디않고 맛있어요~ 여름엔 역시 달아래팥빙수~,1
89,27417809,"국산 팥이네요
달짝지근하게 맛있습니다",1
90,890539012,커피맛좋고.다른곳괸다른와플굿!샌드위치와마카롱도맛볼수있어요,1
91,669309474,사장 남편분 잘생기셨어요!,1
92,669309474, 직접 따신 귤로 만든 청귤에이드라 믿음이 가는곳~~ 가게도 깔끔하고 파는 옷들도 다 넘 이쁘네요~~,1
93,900010274,"뷰도 좋고 인테리어도 이뻤어요
커피도 맛있었어요",1
94,900010274,사장님이 젊은여자분이시고 훤칠한키에 미모를 겸비하시고 친절까지 하셔서 편하고 맛있게 먹었어요,1
95,1787101427,"여행일정 마지막쯔음으로 넣고 방문! 왠걸 사람이 없어서 바로 했구요~ 사모님이신가요 너무 친절하셔용
근처 맛집도 자세히 알려주시고
엄마도 이런건 처음해봤는데 여행중 피로도풀리고 좋다며
너무 좋어하셨어요^^",1
96,183413796,완전 좋아요! 소근육발달 놀이도 많고 규모가 작아보이지만 있을거 다 있어요. 안전하게 잘되어있어서 기본 두시간도 부족하게 잘 놀았어요. 재방문의사 300% 예요! 금액도 싸고 너무 좋아요ㅋㅋ 진짜 최고네요. 제주 여행왔다가 날씨 안 좋아서 왔는데 올때마다 와도 좋을거 같아요,1
97,183413796,크진 않지만 아기자기하게 잘 해놓았네요. 그런데 주인분의 말투와 다소 불필요한 방송(ei.먹으면서 돌아다니지 마세요. 뛰어다니지 마세요..)등은 이미지를 까먹는 거 같네요. 알바생이 매우 친절해 별 하나 올립니다.,1
98,183413796,엄청 작아요 그래도 사람없을땐 한눈에 아이 다보이고 그런건 편해요 ~  사장님이 너무 불친절해요 ~ 알바가 오히려 더친절.. 그래도 가까운데 있으니 갈만은합니다 ,0
99,437994854,"많이 달지만 맛있었고
가게는 작지만 귀여웠어요 !",1
100,437994854,사장님도 가게도 쿠키도 귀여워요 종류도 다양해요 ,1
101,437994854,자리가 협소해요. 포장 손님이 많았구요 어느정도 단 건 감안하고 드셔야할 것 같아요. 그래도 쿠키가 정말 다양하고 맛있어요 최고. 사장님이 친절하셔요.,1
102,437994854,"쿠키도 맛있고, 공간도 예뻐요:)",1
103,24122047,직원분들이 너무 친절해요. 직접 동네 같이 돌면서 강아지도 보여주셨어요! 높은 곳에서 내려다보는 뷰가 정말 좋아서 봄가을에 딱이에요. 조식도 맛있고 청소 상태도 좋아요. 미술관이 같이 있는데 미리 얘기하면 아침마다 미술관 투어도 해주세요. 작품도 독특하고 너무 멋졌고 설명도 잘해주셨어요. 가격도 합리적이고 너무 만족스러웠어요.,1
104,25081546,분위기 좋고 음료도 맛있어요~망고스무디 완전 리얼망고 가득입니다,1
106,1453089281,다 좋은데 창문이 더러움... 물때,1
107,1453089281,"다른건 안먹어봐서 모르겠지만, 아인슈페너는 정말 맛이없음. 커피를 담갔다꺼낸 물에 생크림만 잔뜩넣은 맛.",0
108,1453089281,경치좋음,1
110,1453089281,간단하게 한 잔 하기 좋은 곳,1
111,1453089281,뷰가 너무 예쁜 카페♡,1
112,1453089281,Einspanner yums,1
113,1453089281,"커피 맛이 정말...
드셔보시고 파시는고맞죠 ㅠㅠ",0
114,1453089281,뷰만 괜찮습니다. 커피가격은 비싼데 커피맛은 별로입니다. ,0
115,1453089281,3살 아이와 함께 3층에 식사하러 갔어요.노키즈존은 2층이었고 올라갈때 다시 한번 물어보고 확인후 아이와 가능하다고해서  3층에 갔습니다.참고로 저흰4시에 가서 저희 밖에 손님이 없었구요.자리 가자마자 주문 하려는데 직원이 오더니 아이가 돌아다니거나 소리를 지르진 않냐고 물어봤어요.그렇진 않다고 말씀 드렸는데 여긴 다른 분들이 식사를 하러 오는곳이니 불편할수도 있어서 그런다고했어요.저희 아이가 뭘 한것도 아니고..가자마자..아무도 없었는데..차라리 아이가 떠들지 않게 조심해달라고 했음 알겠습니다 했는데. 말끝을 흐리면서 된다는건지 안된다는건지..은연중에 가라는 뉘앙스여서 매우 불쾌했어요..처음부터 아이 안된다고 했음 아예 안갔어요.이럴바엔 아예 전체 1층3층 노키즈존 했음 굳이 찾아가는 이런 수고는 덜했을텐데요...아이 데리고 갈만한 곳은 아닙니다..,0
116,1453089281,"금릉 해변에 오셨다면 꼭 한번 3층까지 가셔서 둘러보세요!
맜있게 반주와 함께 식사하고 갑니다",1
117,1453089281,뷰가 최고입니다! ,1
118,1453089281,3층 칵테일바 방문했어요. 다른 평들처럼 주류 가격도 호텔급 가격입니다. 밤에는 바다가 1도 안보여서 뷰값이라고 하기도 아깝고ㅠ 분위기도 그냥... ㅠ 그냥 나갈걸 그랬어요ㅠ,0
119,1453089281,"오후3시까지 2층 이용할수 있는데요, 여기는 뷰가 다하는 곳. 커피값 비싸다 놀라지 마시고, 그냥 자리세 낸다 생각하면 됨.",1
120,1453089281,"카페 이용했어요
뷰도 좋고 시설이 깔끔해요
커피 맛도 좋고 수박주스도 최고예요 !!",1
121,1453089281,커피한잔=밥값,1
122,1453089281,뷰는 물론 가격 맛도 아주 만족했습니다,1
125,1453089281,이런 환상적인 오션뷰 바에서 다양한 와인 리스트에 놀랐고 또 당연히 가격은 높을거라 생각했는데 생각보다도 훨씬 낮아 깜짝 놀랐습니다. ,1
126,1453089281,좋아요,1
127,1453089281,뷰깡패 맞음... 데이트 코스 강추!,1
134,646235382,우연히 지나가다 보이길래 들려봤는데 2층에서 바라보는 해수욕장이 넘 예뻐요~ 다음에 제주도 들렸을때 다시 한번 가보고 싶네요,1
135,646235382,해비치리조트에 머물다가 주변에 시원한곳 찾아들어간 곳이네요. 새건물이라 깨끗하고 넓고 특히 바다가 보여서 좋았어요. 직원분들도 친절하시고^^,1
136,646235382,"친구들끼리 처음으로 제주도에 놀러갔는데, 둘러보다가 들어간 카페였어요. 고된 여행으로 지쳤는데 분위기있는 카페를 찾아 힐링하고 왔네요~ 좋은 추억 주셔서 감사합니다!",1
137,24545861,아이스크림 우유의 고소한맛도 진하고 맛있어요,1
138,24545861,아이스크림 달지않고 깔끔허니 너무 맛있어요~ 한라봉빙수 완전추천해요. 유기농이라 우유 탈나시는분들도 여기는 괜찮아요~,1
139,24545861,"빙수가 맛이좋네요
아메리카노는 좀 씁슬함이 강한맛입니다.

이상입니다.",1
140,24545861,"생우유 맛을 기대했는데 어떤 분 말씀처럼 분유맛이 강해요
그래도 일반 아이스크림보다는 괜찮네요",1
141,24545861,제주가면 항상 들리는 집. 한라봉 아이스크림도 맛있고 녹차도 맛있어요!,1
142,24545861,친절하고 진한 우유맛!,1
143,24545861,아이스크림 맛있음/음료들도 괜찮음,1
144,24545861,한라봉 우유 눈꽃 빙수,1
145,24545861,여름엔 정말 최고!!,1
147,24545861,"2018여름 재방문
아뭐야 블랙코코넛아스크림 없어졌어ㅜ 우유, 녹차맛만 있어....
----------------------
아이스크림 대강추!
블랙코코넛 아이스크림 코코넛 향이 좋음~
한라봉빙수는 적당히 달고 생큼함이 맛남
맛있다ㅠㅠㅠ여름에 함덕해수욕장에서 물놀이하고 여기 들르면 넘나 행복한것",1
149,24545861,우유맛이 완전 진함!,1
150,24545861,"팥빙수 먹었는데 우유빙수로 식감이나 맛은 괜찮네요
대형콘도 인근에 잘 잡은 위치로 여행에서 돌아오며 들려 커피나 빙수로 마무리에는 굿
아쉬운점은 가격이 만만치 않음
팥빙수=성게미역국으로 생각하시면 딱",1
154,24545861,"얼음이 맛있다. 신기하게 부드럽네
다른 한라봉아이스크림은 못먹어봤지만 객관적으로 맛은 괜찮음 ",1
155,24545861,제주보리빙수 먹었어요. 미숫가루처럼 보이는 보리가루가 솔솔 뿌려져있네요. 고운 눈같은 얼음 입자가 살살 녹아요^^,1
158,24545861,아이스크림 빙수 맛잇어요,1
159,24545861,우유를 베이스로 청보리가루가 듬뿍올라가있어서 꼬소~하니 맛있어요! 어른들이 좋아할맛! 한라봉빙수는 특이하니 맛있어요~,1
160,24545861,"우유풍미 가득한 아이스크림!!
맛있어요 :)
롤케이크랑 팥빙수도 시원시원~",1
161,24545861,오! 아이스크림! 폴바셋 비스무리!,1
162,24545861,녹차 맛있어요! ㅎㅎ,1
163,24545861,무난해요 제주는 빙수 맛집이 많으니 그런 곳을 더 추천합니다!,1
165,24545861,"유기농 우유 아이스크림~~~
상하목장과 비슷하거나 더 맛나거나 ㅎ
내부도 화이트로 깔끔~
전망도 괜찮아요~^^
아이스크림 좋아하심 추천~",0
166,24545861,폴바셋 밀크 아이스크림보다 좀 더 맛남.분유맛이 강함. 애기들이 좋아할듯.녹차아이스크림도 맛남.,1
167,24545861,아이스크림 맛 꿀임,1
168,9060022,평범,0
169,9060022,"인테리어가 엄청 깔끔하고 분위기도 괜찮아요, 무엇보다 서비스가 너무 좋았어요",1
171,9060022,분위기와 인테리어는 제주도에 있는 커피숍중에서는 괜찮습니다. 하지만 커피맛은 그저 그렇습니다. 커피맛은 아라동쪽에 있는 루드비히가 좋은듯합니다. ,1
172,9060022,분위기 좋은 커피숍 원하는분들이나 인테리어 관심있는 분들 가면 좋은곳!!! 이쁜 소품들도 많아서 여자분들이 가면 좋아할곳이예요~,1
173,9060022,위치가 애매하지만 분위기가 좋아요~,1
174,9060022,"분위기며, 인테리어가 너무 예뻐요 ^^",1
175,9060022,여기 분위기 좋고 너무 좋아요~~ㅋㅋㅋㅋㅋ 진짜 쵝오,1
176,9060022,"자가용이 있으면, 애인이랑 한 번 가보면 좋을 곳~~",1
177,9060022,위치가 어정쩡해서// 분위기는 괜찮아요~,1
178,9060022,분위기가 최고에요~~~~~~^^,1
179,9060022,교통편이 매우 불편하지만 그 불편함을 무릅쓰고도 그 좋은 분위기 때문에 자주 가는 곳이죠..,1
180,9060022,"차가 없으면 찾아가기 애매한 곳이지만, 분위기와 맛은 괜츈요~~!!",1
181,9060022,조용한 분위기를 즐기기 위해서 가끔 가요~ 유명한데는 너무 시끄러워요~,1
182,9060022,옆에 진주식당에서 밥먹고 여기서 커피 마시면 딱일듯 ㅋ,1
183,9060022,"위치가 좀 어정쩡하지만, 나름 현대식 커피숖이어요. 분위기때문에 친구들과 자주 가긴 하지만... 사이드메뉴&#40;쿠키종류&#41;가 있는 커피숖을 원하시면 비추합니다. ",1
184,9060022,"일부러 찾아서 가야 하지만, 그럴 만한 듯 ㅎㅎ",1
185,9060022,여기 분위기가 좋아서~데이트도 좋고~~~그냥 편안히 말하러 가도 좋고~~좋아요 ㅋㅋ,1
186,9060022,조용한 분위기에.. 독특한 인테리어 소품이 아기자기 괜츈한 곳입니다.,1
187,9060022,조용하고 한적한 분위기가 좋은 커피숍입니다,1
188,9060022,"처음으로 싹 가져가고 싶었던 카페 -ㅅ-;; 가구들 가격이 비싸뵈서 ㅠㅠ 구경이라도 하며 만족하는 곳이에요 ㅋ, 분위기가 맘에드니까 커피 맛도 좋던데요~ ㅎㅎㅎ",1
189,9060022,"여기는 독특하고 이쁜 가구들이랑 인테리어 소품들이 많은 곳이죠~위치도 한적하고,,,인테리어가 이뻐서 가는데,,,커피 맛은 썩 좋은 편은 아니예요ㅎㅎ",1
190,9060022,"아기자기 분위기 있는 소품들도 좋구요, 팥빙수도 맛있었어요^^",1
191,9060022,친구때문에 같이 갔었는데~~나름 분위기가 괜찮은것 같아요~~ㅋ,1
192,9060022,인테리어가 이뻐서 좋아요~,1
193,9060022,여름에 여기 팥빙수 정말 맛있어요..ㅋ 인테리어도 상당히 감각적이고...빨리 여름이 왔으면..,1
194,9060022,"맛도 맛이지만, 분위기가 좋아 자주 찾아요. 
아기자기한 소품들은 이곳 주인님 께서 여행 다니시며 하나 하나 모아 오신 거래요. 
소품 구경하는 맛에 분위기에 최고 에요. ",1
195,9060022,예전에 지나다가 우연히 들른곳인데~ 이쁜 가게예요~ 엔틱한 소품과~ 친절하신 직원분~~ 사진찍어도 이뿌게 나와요~ ㅎㅎ,1
196,9060022,실내와 맛과 전부 ~ 괜찮다고 생각합니다~ ,1
197,9060022,여기 인테리어가 너무 예뻐요~ 푹신푹신한 쇼파하며~ ,1
198,27184109,괜찮아요!! 맑은날 가면 좋지만 야외 테이블은 몇개 없으니 시간 맞춰 가면 좋을것 같아요,1
199,27184109,날씨 좋은날 밖에 있긴 괜찮은데 커피맛은 기대하지말고 가세요,1
200,27184109,지슬감자탕 정말 맛있고 양도넉넉함,1
201,27184109,직원분들 제발 웃으면서 일합시다..,0
203,27184109,평일이고 바람이 엄청 많이 부는 날이기는 했는데 6시쯤 갔더니 마감했다네요 꼭 가실분들은 가기전에 전화통화하고 가시길.,0
204,27184109,분위기도 좋고 음식도 좋았어용,1
205,27184109,해안도로  드라이브  중 발견 한  곳  사진 촬영 최적  장소.,1
207,27184109,해안도로에서 찾은 사진찍기 좋은곳,1
208,27184109,"예쁘긴 하지만 귤(?)주스 노맛... 진심.....
예쁘긴합니당... 약간...인스타용.?",0
209,27184109,오직 이곳에서만 맛볼수 있는 옥돔김밥 최고~~^^까페앞 슬픈등대는 꼭 가보시길~~,1
210,27237081,"코카콜라로 예쁘게  인테리어되어 있어서 볼거리도 풍부했고 사진찍을 스팟이 많아 좋았던 것같아요
콜라콕 음료 한잔 가격이 사악했지만 맛은 있었어요
장소는 좀 협소한편이지만 바다가 보이는 뷰가 좋았어요
외국인들 사이에서 유명한 듯 외국인이 많았어요
직원분들 친절하셨어요",1
211,27237081,가격이 너무 비싸요 깜짝 놀람 아이스아메리카노 6000원??저기 메뉴랑 가격다름,0
212,27237081,카페보다는 코카콜라 박물관 같네요. 비싸고 허접해서 기분 잡쳤던 초콜릿 박물관보다 여기가 훨 나았음. 독특한 분위기의 포토존이 엄청나게 많습니다.,1
213,27237081,사장님이 엄청 착하시고 레몬콕 진짜 맛있고 사진 찍을 곳도 많아요,1
214,27237081,콜라박물관느낌 사진은 잘나와요 커피콕은 요상할듯 잘어울리는듯한 신기한맛,1
215,27237081,마감 1시간전에 가서 그런가 사람은 얼마 없었고 너무 너무 이쁘고 살것도 마실것도 많았어요 제가 체리콕 귀신인데 완전 반했어요ㅜㅜ 크으~♡ 친절하시기도 하고 자부심도 있으시고 계다가 원피스 덕후 덕상사 합니다ㅜㅜ 완전 대박 모든 피규어 다 있는 거 같아요 사방이 포토존 담에 또 오고 싶네요,1
216,27237081,"사람이 너무 많고 음료가 너무 오래걸려
기념품만 딱 사고 나오면 될듯
사실 살것도 별로 없어",0
218,27237081,"기대하지 않고 지나가는 김에 들려본 곳.
일,이층에 많은 콜라관련 아이템이 전시되어있는데 너무 산만해서 뭘 봐야 할지 무슨 내용인지 알 수가 없었다.
다른데서는 마실 수 없다는 콜라커피를 마셔봤는데 별로 추천 안 함. 좀 더 달을 맥콜 맛이다
지나가다 한번 쯤 이런 곳도 있구나하고 가 볼만하지만 특별히 시간내서 찾아가기는..

그리고 이층이 콜라관련 소품(사진)으로 많이 차 있어서 좁고 밖이 안보인다",1
220,27237081,"이거 다 어떻게 모으셨을까 ㅎ ㄷ ㄷ
커피콕!",1
225,27237081,"코카콜라 컨셉에 맞는 카페
커피 콕도 먹을만 해요
다른 콕들도 많아욥",1
226,27237081,일단 대표 메뉴인커피콕은 맥콜과 비슷한맛 사진찍으로 가는 카페,1
227,27237081,"그냥 그랬음.
조금 특이하다는것?",0
229,27237081,친절하고 맛나고 특이하고,1
230,27237081,"커피랑 콜라맛이 함께 나는 카페콜라의 시그니처메뉴
커피콕과 보틀 콜라 그리고 망고스무디 :)

2층은 코카콜라 박물관느낌
작지만 아기자기한 소품보는 재미가 있어요
콜라 미니어처부터 주방용품, 캠핑용품에
무한도전 콜라판넬까지~~ㅋ",1
233,27237081,콜라덕후들의 성지,1
234,27237081,"SNS에 엄청 난리라 가봤어요~~ 
코카콜라 관련 제품들이 아~주 많았지만.. 
생각만큼 또 가고 싶은지는 모르겠어요.. 
허니브레드 나오는대 30분은 기다린거 같아요..
인증샷으로 만족한..",1
235,27237081,커피콕과 코카콜라의 콜라보 좋아요,1
236,11053803,옛날 동네 제과점 팥빙수 맛  팥도 토핑도 특별 할것 없음   빙수에 옥수수콘은 뭐지 ,0
237,11053803,캔모아의 향수를 불러오는 빠빠라기 ,1
239,11053803,직원들 앉아만 있고 웨이팅 손님 자리지정도 안 해주고. 바쁜건 알겠는데 서비스 마인드가 부족함. 팥빙수 맛도 평범하지도 않고 옥수수 맛이 거북함.,0
240,11053803,"빠빠라기 빙수 포장해서
집에서 가족들이랑 먹으면
빙순데도 배부를정도!",1
241,11053803,팥빙수,1
247,11053803,팥빙수,0
248,11053803,대박큰 빙수.. 스노우빈이 내부수리중이라 대안으로 선택.. 2층에 있는데.. 주차장이 없어 포장만했다능 .. 포장은 17000짜리밖에 앙대여.,0
249,11053803,빙수하면빠빠라기~,0
250,11053803,"제주 유명 빙수 가게 빠빠라기! 15년 넘게 장사하네
하나 시켜서 4명이 충분히 먹을 수 있는 양
포장도 됨",0
